start time                lon       lat      depth  mag
1989-01-03 08:49:59.4800  121.7202  37.3558  7.48  1.25  129510
1989-01-03 08:54:49.2500  121.7225  37.3575  7.4  1.52  129511
1989-03-04 01:56:14.1000  121.7198  37.3582  8.06  0.96  132216
1989-03-18 05:00:30.3000  121.7173  37.3543  7.86  0.94  132986
1989-03-29 15:04:05.8900  121.7183  37.3557  8.55  0.95  133626
1989-04-17 00:37:22.8300  121.7215  37.3572  7.56  0.95  134706
1989-04-17 00:40:08.7200  121.7178  37.3555  7.79  1.4  134707
1989-06-17 23:40:09.9700  121.7198  37.3562  7.2  1.24  138382
1989-06-17 23:43:07.8400  121.721  37.3572  7.9  0.94  138383
1989-06-17 23:48:31.1800  121.7203  37.355  8.22  0.95  138385
1989-08-08 08:22:29.7200  121.7182  37.3543  7.69  1.29  141920
1989-08-08 08:41:19.8900  121.72  37.3565  8.95  0.97  141921
1989-08-08 08:41:45.6700  121.7212  37.3563  7.81  0.8  141954
1989-11-05 09:02:46.9100  121.7183  37.3558  7.45  1.84  146625
1989-11-05 09:00:09.2900  121.7185  37.3548  7.71  1.37  148789
1990-02-05 05:37:03.1100  121.7203  37.3575  7.79  2.09  151938
1990-04-13 22:05:11.8000  121.7192  37.3567  8.48  1.36  155912
1990-04-24 04:17:02.7000  121.7178  37.3537  8.13  0.89  156521
1990-09-04 04:14:16.6000  121.7202  37.3557  8.32  0.89  163641
1990-09-04 04:36:02.0300  121.7203  37.358  7.96  0.89  163700
1991-01-17 05:55:11.9000  121.7253  37.3515  8.54  0.76  204884
1991-01-19 16:42:12.7000  121.7202  37.3573  8.26  1.26  205008
1991-05-27 18:16:07.2500  121.7197  37.3572  8.12  1.25  215338
1992-01-12 05:59:36.0500  121.7272  37.3558  8.49  1.03  242752
1992-01-12 06:13:23.4400  121.719  37.3582  8.88  0  242757
1992-01-16 11:59:34.5600  121.7208  37.3567  7.37  1.7  244820
1992-01-16 12:01:18.4900  121.7222  37.3567  7.38  1.35  244821
1992-08-11 15:25:54.2200  121.7192  37.3572  7.69  1.54  310503
1992-12-22 10:22:43.1000  121.7173  37.3545  8.24  1.15  329834
1993-04-08 00:27:16.8000  121.7238  37.3568  8.73  0.95  344140
1993-04-08 00:29:25.8500  121.719  37.3562  8.88  1.04  344141
1993-12-22 19:07:49.0500  121.7233  37.3567  9.17  0.97  389385
1993-12-22 19:30:54.9200  121.7215  37.3573  9.11  1.03  389388
1993-12-22 19:36:31.2300  121.7223  37.3575  8.85  1.04  389389
1994-01-13 12:49:32.0200  121.719  37.3547  7.97  1.01  391014
1994-05-02 00:59:34.3900  121.7113  37.3598  8.08  0.97  401285
1996-08-01 05:24:53.3500  121.7218  37.3572  7.72  2.19  474140
1996-08-21 01:29:17.4700  121.718  37.3538  7.7  1.19  476714
1996-08-31 21:44:52.8300  121.7205  37.3577  7.83  1.91  477944
1996-11-01 05:19:28.3900  121.7212  37.3575  7.33  1.75  483409
1996-12-02 17:48:20.0800  121.7175  37.3537  7.76  1.39  486448
1996-12-03 18:38:59.4400  121.72  37.355  7.68  1.46  486550
1996-12-03 18:41:57.7200  121.72  37.3552  7.7  1.75  486552
1997-01-26 22:08:52.1400  121.7207  37.3573  7.57  2.04  492767
1997-04-05 16:27:10.5700  121.7213  37.3593  8.18  1.39  500494
1997-04-26 18:43:37.4500  121.719  37.357  8.09  1.62  502621
1997-04-26 18:45:13.1500  121.7147  37.3533  7.23  1.38  502622
1997-12-01 19:28:17.2800  121.7163  37.352  7.75  1.3  540115
1998-03-19 15:36:07.6600  121.7207  37.3573  7.06  1.74  562796
1998-04-03 07:47:06.8300  121.7178  37.356  7.56  1.71  565771
1985-11-12 00:20:31.8400  121.7173  37.356  8.41  0.87  1132890
1994-07-22 04:36:31.0800  121.7085  37.3625  6.48  0.87  1215153
1999-09-08 12:17:24.7300  121.7218  37.3535  9.15  0  21051000
1999-09-08 12:24:01.3800  121.7138  37.352  7.87  0.86  21051002
1999-10-19 00:23:22.5000  121.7185  37.3563  8.1  1.34  21060868
2000-05-11 08:19:12.4300  121.7168  37.3553  8.53  1.37  21096842
2000-05-11 08:31:31.3000  121.7208  37.3587  8.38  1.55  21096848
2000-06-01 20:52:15.0900  121.7147  37.3537  7.98  0  21101327
2000-11-01 22:04:32.6600  121.7128  37.358  6.98  1.19  21132201
