Fault,Longitude,Latitude,Location Description,Creep rate (mm/yr),sig (mm/yr),Type,Inst,Start,End,Years,Source,EQ Contamination,Temporal Variation Observed,Added or Updated from UCERF3,Used in 2021 Inversion
San Andreas,-120.632,36.0673,,32.78,1.29,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.6397,36.0738,,35.91,1.13,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.6477,36.0801,,30.13,1.06,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.6546,36.0872,,36.68,1.14,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.6628,36.0933,,33.4,1.05,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.6705,36.0998,,24.73,0.89,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.6785,36.106,,29.62,1,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.6864,36.1124,,35.72,0.93,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.6918,36.1206,,34.7,0.95,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.6992,36.1273,,43.71,1,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.7071,36.1337,,28.63,1.02,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.7145,36.1404,,30.98,1.11,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.721,36.1479,,33.87,1.15,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.7275,36.1553,,28.52,1.08,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.7359,36.1613,,36.46,0.94,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.7454,36.1663,,25.69,1.08,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.7532,36.1728,,33.26,1.02,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.7596,36.1802,,34.99,1.02,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.7657,36.188,,32.23,1.02,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.7733,36.1946,,24.38,1.11,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.7806,36.2014,,29.5,1.41,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.7893,36.2071,,22.2,1.25,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.7957,36.2146,,23.56,1.12,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.8028,36.2216,,29.76,1.19,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.808,36.23,,23.58,1.3,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.8125,36.239,,26.08,1.24,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.8205,36.2453,,27.71,1.22,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.8284,36.2516,,32.48,1.21,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.8354,36.2587,,28.94,1.33,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.843,36.2653,,25.57,1.28,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.8507,36.2718,,21.27,1.53,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.8575,36.279,,25.12,1.3,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.866,36.2848,,24.1,1.39,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.8737,36.2913,,28.69,1.04,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.8825,36.297,,34.42,1.13,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.8889,36.3045,,31.01,1.15,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.8968,36.3109,,24.61,0.8,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.9032,36.3184,,27.43,0.94,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.9116,36.3244,,28.49,1.2,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.9182,36.3317,,24.48,1.29,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.9266,36.3377,,28.67,0.97,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.9342,36.3443,,28.49,1.19,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.941,36.3515,,18.5,1.22,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.9475,36.3589,,19.77,1.28,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.9547,36.3658,,17.09,1.65,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.9613,36.3732,,30.46,1.67,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.9683,36.3803,,14.51,2.76,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.9888,36.4018,,17.31,1.64,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.9958,36.4089,,25.86,1.62,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.0098,36.423,,26.94,1.66,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.0174,36.4296,,27.04,1.86,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.0238,36.4371,,23.18,1.45,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.032,36.4433,,22.14,1.34,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.0389,36.4504,,21.6,1.34,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.0456,36.4577,,21.51,1.38,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.0524,36.4649,,18.97,1.42,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.0591,36.4722,,20.79,1.75,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.0662,36.4792,,13.27,2.02,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.0731,36.4864,,17.81,2.51,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.0805,36.4931,,23.09,2.03,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.0879,36.4999,,22.55,1.68,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.0949,36.507,,34.37,1.62,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.1027,36.5134,,28.2,1.72,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.1098,36.5204,,30.35,1.79,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.1169,36.5274,,28.08,1.67,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.1448,36.5557,,22.57,1.49,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.1515,36.563,,30.15,1.35,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.1594,36.5694,,34.5,1.48,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.1676,36.5755,,27.99,1.03,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.1753,36.5821,,31.71,1.3,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.1829,36.5887,,29.86,1.51,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.1984,36.6017,,30.86,1.9,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.2064,36.608,,31.72,1.7,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.2143,36.6144,,27.03,1.75,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.2211,36.6216,,17.9,2.41,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.2277,36.629,,20.57,1.83,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.2436,36.6417,,16.09,2.13,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.3076,36.6921,,14.5,1.57,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.3152,36.6988,,13.07,2.16,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.3234,36.7049,,7.53,3.59,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.3318,36.7109,,15.42,1.74,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.3404,36.7167,,14.47,2.19,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.3485,36.723,,13.68,2,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.357,36.7289,,13.52,2.23,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.365,36.7352,,13.26,2.06,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.3731,36.7414,,17.5,2.26,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.3818,36.7472,,14.57,1.98,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.3906,36.7529,,19.53,2.23,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.3996,36.7584,,17.92,2.06,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.4083,36.7641,,20.73,2.03,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.4626,36.7971,,15.25,2.38,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-121.481,36.8079,,6.26,2.17,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.5247,35.9733,,25.63,1.27,,LiDAR,2005.4,2018.2,12.8,20,,,Yes,No
San Andreas,-120.5322,35.9799,,21.89,1.04,,LiDAR,2005.4,2018.2,12.8,20,,,Yes,No
San Andreas,-120.5377,35.9881,,27.59,1.26,,LiDAR,2005.4,2018.2,12.8,20,,,Yes,No
San Andreas,-120.5554,35.9993,,22.69,1.04,,LiDAR,2005.4,2018.2,12.8,20,,,Yes,No
San Andreas,-120.563,36.0059,,30.1,0.84,,LiDAR,2005.4,2018.2,12.8,20,,,Yes,No
San Andreas,-120.571,36.0121,,28.79,0.89,,LiDAR,2005.4,2018.2,12.8,20,,,Yes,No
San Andreas,-120.5784,36.0188,,34.16,1.03,,LiDAR,2005.4,2018.2,12.8,20,,,Yes,No
San Andreas,-120.5925,36.0328,,27.29,1.07,,LiDAR,2005.4,2018.2,12.8,20,,,Yes,No
San Andreas,-120.5991,36.0401,,26.48,0.63,,LiDAR,2005.4,2018.2,12.8,20,,,Yes,No
San Andreas,-120.6076,36.046,,35.53,0.62,,LiDAR,2005.4,2018.2,12.8,20,,,Yes,No
San Andreas,-120.6155,36.0523,,30.45,0.67,,LiDAR,2005.4,2018.2,12.8,20,,,Yes,No
San Andreas,-120.6231,36.0589,,28.47,0.7,,LiDAR,2005.4,2018.2,12.8,20,,,Yes,No
San Andreas,-120.4527,35.9127,,9.54,1.1,,LiDAR,2005.4,2018.4,13,20,,,Yes,No
San Andreas,-120.4672,35.9264,,9.74,0.92,,LiDAR,2005.4,2018.4,13,20,,,Yes,No
San Andreas,-120.4895,35.9465,,18.09,0.89,,LiDAR,2005.4,2018.4,13,20,,,Yes,No
San Andreas,-120.4972,35.953,,15.39,1.13,,LiDAR,2005.4,2018.4,13,20,,,Yes,No
San Andreas,-120.5137,35.9651,,22.48,0.79,,LiDAR,2005.4,2018.4,13,20,,,Yes,No
San Andreas,-120.5295,35.9777,,21.51,0.94,,LiDAR,2005.4,2018.4,13,20,,,Yes,No
